[['08', '26', '2018'], '09:00', '12:00', 'UAS Flight Day']
[['08', '26', '2018'], '12:00', '14:00', 'UAS Workday']
[['08', '27', '2018'], '09:00', '09:50', 'Physics']
[['08', '27', '2018'], '10:00', '10:50', 'Geology']
[['08', '27', '2018'], '11:00', '12:00', 'Campus Tour']
[['08', '27', '2018'], '12:00', '12:50', 'CSC 150']
[['08', '27', '2018'], '15:00', '15:50', 'Calc 1']
[['08', '27', '2018'], '16:00', '17:00', 'UAS Meeting']
[['08', '28', '2018'], '08:00', '10:50', 'Geology Lab']
[['08', '28', '2018'], '11:00', '14:00', 'Sophia TA']
[['08', '28', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['08', '29', '2018'], '09:00', '09:50', 'Physics']
[['08', '29', '2018'], '10:00', '10:50', 'Geology']
[['08', '29', '2018'], '12:00', '12:50', 'CSC 150']
[['08', '29', '2018'], '14:00', '15:00', 'Campus Tour']
[['08', '29', '2018'], '15:00', '15:50', 'Calc 1']
[['08', '29', '2018'], '16:00', '17:00', 'Ice Cream Social Talk']
[['08', '30', '2018'], '12:00', '13:00', 'Campus Tour']
[['08', '30', '2018'], '15:00', '15:50', 'Calc 1']
[['08', '31', '2018'], '09:00', '09:50', 'Physics']
[['08', '31', '2018'], '10:00', '10:50', 'Geology']
[['08', '31', '2018'], '12:00', '12:50', 'CSC 150']
[['08', '31', '2018'], '14:00', '15:00', 'Campus Tour']
[['08', '31', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '03', '2018'], '09:00', '09:50', 'Physics']
[['09', '03', '2018'], '10:00', '10:50', 'Geology']
[['09', '03', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '03', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '03', '2018'], '16:00', '17:00', 'UAS Meeting']
[['09', '04', '2018'], '08:00', '10:50', 'Geology Lab']
[['09', '04', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['09', '05', '2018'], '09:00', '09:50', 'Physics']
[['09', '05', '2018'], '10:00', '10:50', 'Geology']
[['09', '05', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '05', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '06', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '07', '2018'], '09:00', '09:50', 'Physics']
[['09', '07', '2018'], '10:00', '10:50', 'Geology']
[['09', '07', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '07', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '10', '2018'], '09:00', '09:50', 'Physics']
[['09', '10', '2018'], '10:00', '10:50', 'Geology']
[['09', '10', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '10', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '10', '2018'], '16:00', '17:00', 'UAS Meeting']
[['09', '11', '2018'], '08:00', '10:50', 'Geology Lab']
[['09', '11', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['09', '12', '2018'], '09:00', '09:50', 'Physics']
[['09', '12', '2018'], '10:00', '10:50', 'Geology']
[['09', '12', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '12', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '13', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '14', '2018'], '09:00', '09:50', 'Physics']
[['09', '14', '2018'], '10:00', '10:50', 'Geology']
[['09', '14', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '14', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '17', '2018'], '09:00', '09:50', 'Physics']
[['09', '17', '2018'], '10:00', '10:50', 'Geology']
[['09', '17', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '17', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '17', '2018'], '16:00', '17:00', 'UAS Meeting']
[['09', '18', '2018'], '08:00', '10:50', 'Geology Lab']
[['09', '18', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['09', '19', '2018'], '09:00', '09:50', 'Physics']
[['09', '19', '2018'], '10:00', '10:50', 'Geology']
[['09', '19', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '19', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '20', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '21', '2018'], '09:00', '09:50', 'Physics']
[['09', '21', '2018'], '10:00', '10:50', 'Geology']
[['09', '21', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '21', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '24', '2018'], '09:00', '09:50', 'Physics']
[['09', '24', '2018'], '10:00', '10:50', 'Geology']
[['09', '24', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '24', '2018'], '15:00', '15:50', 'Calc 1']
[['09', '24', '2018'], '16:00', '17:00', 'UAS Meeting']
[['09', '25', '2018'], '08:00', '10:50', 'Geology Lab']
[['09', '25', '2018'], '14:00', '15:50', 'CSC 150 Lab']
[['09', '26', '2018'], '09:00', '09:50', 'Physics']
[['09', '26', '2018'], '10:00', '10:50', 'Geology']
[['09', '26', '2018'], '12:00', '12:50', 'CSC 150']
[['09', '26', '2018'], '15:00', '15:50', 'Calc 1']
